breadth,depth,dev,relative_breadth,relative_depth
61,1663,Sergiy Shyrkov,35.89523809523809,45.48012199093529
31,765,bpapez,9.72857142857143,10.031058568646403
22,160,Thomas Draier,5.445238095238095,2.489890284707395
24,312,oyevstafyev,6.395238095238096,4.113978770890358
2,4,Florent BOURASSE,0.2857142857142857,0.01449351056328833
10,65,David Griffon,1.6285714285714286,0.5618288060828562
1,2,Oleksandr Ievstafiev,0.3333333333333333,0.02857142857142857
20,94,jkevan,3.9785714285714286,1.2524537022833033
2,3,Serge Huber,0.30952380952380953,0.027602937319695778
