breadth,depth,dev,relative_breadth,relative_depth
62,1666,Sergiy Shyrkov,36.89523809523809,46.47617377882849
31,765,bpapez,9.72857142857143,10.02294025802226
22,163,Thomas Draier,5.445238095238095,2.504361341863829
24,312,oyevstafyev,6.395238095238096,4.110463739643237
2,5,Florent BOURASSE,0.2857142857142857,0.017751937984496126
10,65,David Griffon,1.6285714285714286,0.5612523490324733
1,2,Oleksandr Ievstafiev,0.3333333333333333,0.02857142857142857
20,94,jkevan,3.9785714285714286,1.250955693324173
2,3,Serge Huber,0.30952380952380953,0.02752947272962819
