desenvolvedor,exp_dist,lib_exp
Sergiy Shyrkov,0.8123076923076923,0.18769230769230769
bpapez,0.9046153846153846,0.09538461538461539
Thomas Draier,0.9476923076923077,0.052307692307692305
oyevstafyev,0.9261538461538461,0.07384615384615385
Florent BOURASSE,0.9938461538461538,0.006153846153846154
David Griffon,0.9692307692307692,0.03076923076923077
Oleksandr Ievstafiev,0.9969230769230769,0.003076923076923077
jkevan,0.9384615384615385,0.06153846153846154
Serge Huber,0.9938461538461538,0.006153846153846154
