breadth,depth,dev,relative_breadth,relative_depth
60,1650,Sergiy Shyrkov,35.22857142857143,44.595393254822625
31,765,bpapez,10.061904761904762,10.125441167959341
17,151,Thomas Draier,4.328571428571429,2.2410205232284146
24,312,oyevstafyev,6.478571428571429,4.122536890920689
2,4,Florent BOURASSE,0.2857142857142857,0.01470251639222867
10,62,David Griffon,1.6285714285714286,0.5538390125101734
1,2,Oleksandr Ievstafiev,0.3333333333333333,0.02857142857142857
20,94,jkevan,4.311904761904762,1.2905832356541476
2,3,Serge Huber,0.34285714285714286,0.027911969940955447
