breadth,depth,dev,relative_breadth,relative_depth
58,1637,Sergiy Shyrkov,33.22857142857143,42.581972839733304
31,765,bpapez,10.061904761904762,10.152379167927624
17,151,Thomas Draier,4.328571428571429,2.24710149403205
24,302,oyevstafyev,6.478571428571429,4.095988876790791
2,4,Florent BOURASSE,0.2857142857142857,0.014905149051490514
10,62,David Griffon,1.6285714285714286,0.5581586567909732
1,2,Oleksandr Ievstafiev,0.3333333333333333,0.02857142857142857
20,94,jkevan,4.311904761904762,1.2926897501740433
2,3,Serge Huber,0.34285714285714286,0.028232636928289104
