breadth,depth,dev,relative_breadth,relative_depth
58,1630,Sergiy Shyrkov,33.22857142857143,42.57078851630304
31,765,bpapez,10.061904761904762,10.159045672288908
17,151,Thomas Draier,4.328571428571429,2.248840300235763
24,302,oyevstafyev,6.478571428571429,4.097903733569273
2,4,Florent BOURASSE,0.2857142857142857,0.015042253521126762
10,62,David Griffon,1.6285714285714286,0.5584324352029404
1,2,Oleksandr Ievstafiev,0.3333333333333333,0.02857142857142857
20,94,jkevan,4.311904761904762,1.2931430233792236
2,3,Serge Huber,0.34285714285714286,0.028232636928289104
