breadth,depth,dev,relative_breadth,relative_depth
58,1630,Sergiy Shyrkov,33.22857142857143,42.574396019910544
31,765,bpapez,10.061904761904762,10.160913085921027
17,151,Thomas Draier,4.328571428571429,2.2493071536437927
24,302,oyevstafyev,6.478571428571429,4.098115939663832
2,4,Florent BOURASSE,0.2857142857142857,0.015042253521126762
10,62,David Griffon,1.6285714285714286,0.5586446412974994
1,2,Oleksandr Ievstafiev,0.3333333333333333,0.02857142857142857
20,93,jkevan,4.311904761904762,1.2867343993235405
2,3,Serge Huber,0.34285714285714286,0.02827507814720091
