breadth,depth,dev,relative_breadth,relative_depth
61,1663,Sergiy Shyrkov,36.22857142857143,45.612814950418695
31,765,bpapez,10.061904761904762,10.114297496618885
17,151,Thomas Draier,4.328571428571429,2.2389511635514214
24,312,oyevstafyev,6.478571428571429,4.119901461641936
2,4,Florent BOURASSE,0.2857142857142857,0.014561762184264328
10,62,David Griffon,1.6285714285714286,0.5530979335181946
1,2,Oleksandr Ievstafiev,0.3333333333333333,0.02857142857142857
20,94,jkevan,4.311904761904762,1.2899671120847902
2,3,Serge Huber,0.34285714285714286,0.027836691410392363
