breadth,depth,dev,relative_breadth,relative_depth
58,1531,Sergiy Shyrkov,33.22857142857143,41.976130205808595
31,765,bpapez,10.061904761904762,10.454620412233663
17,151,Thomas Draier,4.328571428571429,2.3388685024990843
24,302,oyevstafyev,6.478571428571429,4.221085710025176
2,4,Florent BOURASSE,0.2857142857142857,0.015590470135924682
10,62,David Griffon,1.6285714285714286,0.5944557035530093
1,2,Oleksandr Ievstafiev,0.3333333333333333,0.02857142857142857
20,93,jkevan,4.311904761904762,1.341238885049879
2,3,Serge Huber,0.34285714285714286,0.029438682123245883
