breadth,depth,dev,relative_breadth,relative_depth
59,1641,Sergiy Shyrkov,34.22857142857143,43.59974093607264
31,765,bpapez,10.061904761904762,10.15062887833269
17,151,Thomas Draier,4.328571428571429,2.2465870517758266
24,302,oyevstafyev,6.478571428571429,4.080787540308784
2,4,Florent BOURASSE,0.2857142857142857,0.014849582784365392
10,62,David Griffon,1.6285714285714286,0.5580667955180411
1,2,Oleksandr Ievstafiev,0.3333333333333333,0.02857142857142857
20,94,jkevan,4.311904761904762,1.292535149707937
2,3,Serge Huber,0.34285714285714286,0.028232636928289104
