breadth,depth,dev,relative_breadth,relative_depth
58,1636,Sergiy Shyrkov,33.22857142857143,42.58019413063752
31,765,bpapez,10.061904761904762,10.15357309595082
17,151,Thomas Draier,4.328571428571429,2.2472720551782213
24,302,oyevstafyev,6.478571428571429,4.09625690144906
2,4,Florent BOURASSE,0.2857142857142857,0.014929514929514928
10,62,David Griffon,1.6285714285714286,0.5582195714860343
1,2,Oleksandr Ievstafiev,0.3333333333333333,0.02857142857142857
20,94,jkevan,4.311904761904762,1.2927506648691045
2,3,Serge Huber,0.34285714285714286,0.028232636928289104
