breadth,depth,dev,relative_breadth,relative_depth
61,1663,Sergiy Shyrkov,36.06190476190476,45.5253149504187
31,765,bpapez,9.895238095238096,10.050408607729995
19,153,Thomas Draier,4.828571428571429,2.4125622746625326
24,312,oyevstafyev,6.478571428571429,4.119901461641936
2,4,Florent BOURASSE,0.2857142857142857,0.014561762184264328
10,62,David Griffon,1.6285714285714286,0.5530979335181946
1,2,Oleksandr Ievstafiev,0.3333333333333333,0.02857142857142857
20,94,jkevan,4.145238095238096,1.267744889862568
2,3,Serge Huber,0.34285714285714286,0.027836691410392363
