autor,timestamp,metodo,commit_id,quantidade
"Michael Nitschinger
","1392716864
",get,"6c6588bdb1d85e2182584ceaa052dc92d8b84ead
4f534006eec7fd782e85d1a02ce05f181d13907d
8fc6b1e5a127cd519d12229a216ea4d27edd1924
26fa76e245351201345a412a4c70c287c02544f8
6555455004b1b236159b41d7c5c24c9ae6c3cb1c
fffaef40f8ce3f54db5db61f735aa1a834d5312c",7
"Michael Nitschinger
","1401705827
",get,a982d0ab35bf24935ad6246e564126a92adec0b5,7
"Michael Nitschinger
","1397457347
",get,"38954c132df820b6818e676e1377b86dc2a319a3
f82790d8d181ab0a328d7d511a360eae4fed94f4
e6af57ec27c4a0c2e3447ef9d210fbf8c95ede00
fd7ce14565b3243ac630bd39b2c147eaa4e35289
4549dce24f0e345b5af1065a1ec44e2bb25a78e5",7
"Michael Nitschinger
","1384947393
",close,"e94fbf5db73390a94e93bbe4fd7ce892c393ee3a
3157250ac050cebada7b4add702591b3fa57f77c
f8111142520726952a49f7c7f9c223680c224acf
449316f08b178c49bb6b54701ffa74b386b8448c
17ad39e01f901441a495a5ac08b9cc7dfbbb9b96
03f353e39d23c71825405acd22db94428323997b
afe8e17710e8dc5993aadaf6043afdb281a1cbdd",1
"Michael Nitschinger
","1385045773
",get,"850fddb026c9af4a349410cd70e7c14ce7c09edf
b70d1a0c16a0d6da9d57880e558dc87e430253ed
82ad6cb4629a2c98fdebc55ad10f058cd2767ff9
6ce52d246f322d6b312c28df4dc38d0f986b921c
e6698d72e09f5a5656f0c4a58c61e355c2dbb1f2
ea8a0dabc9962682be56938054ee4adfc9cd84d6
03f8b4301cc4b1bd6924ae02a1c20b14677727a8
fffaef40f8ce3f54db5db61f735aa1a834d5312c
249877d4225bab45c82a29a71e585d07434afd3e
d40dfef6d684eb5cc6fb2b32b3f63f15b4c61b4b",7
"Michael Nitschinger
","1384955623
",shutdown,"7d45580e14f5cb102961a72ea67a220376b0e3b2
5e83890efb7dc279f50a39c4898bfe978de815b1
dd7aa77b4b02d24ebf9206b5cdfb9718c2f190cd
3157250ac050cebada7b4add702591b3fa57f77c
afe8e17710e8dc5993aadaf6043afdb281a1cbdd",2
"Michael Nitschinger
","1394025355
",toString,d8cd4e61226ce5f48f1aab8e94602f86defce36f,4
"Michael Nitschinger
","1394025355
",put,d8cd4e61226ce5f48f1aab8e94602f86defce36f,1
"Michael Nitschinger
","1394025355
",trace,d8cd4e61226ce5f48f1aab8e94602f86defce36f,1
"Michael Nitschinger
","1377500840
",equals,"d3a6d571344f594ae2dab8ed6d5485910182584c
b90bc111c59e7c37038ef8a36dc12cb6ca42db15
65cf4b068456e97306b88dbaaaf1811efaf9d008",1
"Michael Nitschinger
","1395652300
",log,f82790d8d181ab0a328d7d511a360eae4fed94f4,2
"Michael Nitschinger
","1395652300
",format,f82790d8d181ab0a328d7d511a360eae4fed94f4,3
"Michael Nitschinger
","1384947393
",configure,"e94fbf5db73390a94e93bbe4fd7ce892c393ee3a
5e83890efb7dc279f50a39c4898bfe978de815b1
3157250ac050cebada7b4add702591b3fa57f77c
03f353e39d23c71825405acd22db94428323997b
afe8e17710e8dc5993aadaf6043afdb281a1cbdd",1
"Michael Nitschinger
","1381154289
",shutdown,"f6f76efad6fdeaea9e67939036c58562e0a035f6
dd7aa77b4b02d24ebf9206b5cdfb9718c2f190cd
e720c5d002c25022e97c59c98407f7d0f4bce370
3157250ac050cebada7b4add702591b3fa57f77c
4ac7a1e730f67cd4b4302d5ad50d8ab37251e016
8f96c59a1dc89fc0aa7bfe680f2cb7627235915e
c4fd35d3d64d95a279d6150a2c99aa4c5e4919fd
66eef222ddd481187a6dae96e00369860ac3f005
1ee97bc65c54ff964b1a7474f79f865524a44d4f
86f4cd0a30c8045bcb8284b6dd9e66888ef512e5
971c7b53a2ebb90ba9f8b10af89547ce47870f84
708e7b0c1fbb7e33954ca589e8f761f648d50c9a
afe8e17710e8dc5993aadaf6043afdb281a1cbdd",2
