breadth,depth,dev,relative_breadth,relative_depth
57,1439,Sergiy Shyrkov,32.252380952380946,40.890611762809286
31,753,bpapez,10.085714285714285,10.239862624988833
17,151,Thomas Draier,4.352380952380953,2.4028606812605324
24,302,oyevstafyev,6.502380952380952,4.395515125606654
1,2,Florent BOURASSE,0.14285714285714285,0.00749063670411985
10,62,David Griffon,1.6523809523809523,0.6038783372119729
1,2,Oleksandr Ievstafiev,0.3333333333333333,0.02857142857142857
20,93,jkevan,4.335714285714285,1.40075934428937
2,3,Serge Huber,0.34285714285714286,0.03045005855780492
