exp_dist,lib_exp,desenvolvedor
0.96590909090909094,0.03409090909090909,Joseph Hart
0.98863636363636365,0.011363636363636364,Marty Schoch
0.92045454545454541,0.07954545454545454,Alexander Sokolovsky
0.95454545454545459,0.045454545454545456,Raghavan Srinivas
0.76136363636363635,0.23863636363636365,Dustin Sallings
0.98863636363636365,0.011363636363636364,Valeri Felberg
0.97727272727272729,0.022727272727272728,Kristian Eide
0.98863636363636365,0.011363636363636364,Aaron Miller
0.97727272727272729,0.022727272727272728,Greg Kim
0.98863636363636365,0.011363636363636364,Daniel Martin
0.98863636363636365,0.011363636363636364,Kevin Lafferty
0.98863636363636365,0.011363636363636364,Ahn Seong Hwa
0.98863636363636365,0.011363636363636364,amcreynolds
0.96590909090909094,0.03409090909090909,Philipp Fehre
0.84090909090909094,0.1590909090909091,Mike Wiederhold
0.94318181818181823,0.056818181818181816,Nelz
0.79545454545454541,0.20454545454545456,Michael Nitschinger
0.98863636363636365,0.011363636363636364,Matt Weiden
0.98863636363636365,0.011363636363636364,Fabien Renaud
0.85227272727272729,0.14772727272727273,Matt Ingenthron
0.98863636363636365,0.011363636363636364,Paul Burnstein
0.98863636363636365,0.011363636363636364,Ray Krueger
0.97727272727272729,0.022727272727272728,Paul Marynchev
0.98863636363636365,0.011363636363636364,vgnanasekaran
0.90909090909090906,0.09090909090909091,Boris Partensky
0.97727272727272729,0.022727272727272728,Andrey Kartashov
0.98863636363636365,0.011363636363636364,ciaranj
0.98863636363636365,0.011363636363636364,Ted Crossman
0.98863636363636365,0.011363636363636364,Nick Brachet
0.98863636363636365,0.011363636363636364,mattbertolini
0.95454545454545459,0.045454545454545456,Blair Zajac
